FR.SNCF.109;Rosheim;48.5012787;7.4844926;Alsace;*
FR.SNCF.110;Rothau;48.458633;7.2073383;Alsace;*
FR.SNCF.111;Rouffach;47.9591478;7.3064885;Alsace;*
FR.SNCF.112;Rountzenheim;48.8303955;8.0323026;Alsace;*
FR.SNCF.113;Russ-Hersbach;48.4963608;7.2551921;Alsace;*
FR.SNCF.114;Saales;48.3473433;7.1084936;Alsace;*
FR.SNCF.115;Sarre-Union;48.9359917;7.0855629;Alsace;*
FR.SNCF.116;Saulxures (Bas-Rhin);48.3473433;7.1084936;Alsace;*
FR.SNCF.117;Saverne;48.7435938;7.3608403;Alsace;*
FR.SNCF.118;Scherwiller;48.2877363;7.4257616;Alsace;*
FR.SNCF.119;Schirmeck-La Broque;48.4801501;7.2165335;Alsace;*
FR.SNCF.120;Schopperten;48.9359917;7.0855629;Alsace;*
FR.SNCF.121;Schweighouse-sur-Moder;48.8262547;7.7413963;Alsace;*
FR.SNCF.122;Schwindratzheim;48.7897667;7.6039879;Alsace;*
FR.SNCF.123;Sélestat;48.2602188;7.4435364;Alsace;*
FR.SNCF.124;Seltz;48.8953699;8.1024577;Alsace;*
FR.SNCF.125;Sessenheim;48.7965051;7.988931;Alsace;*
FR.SNCF.126;Sierentz;47.6340428;7.4835008;Alsace;*
FR.SNCF.127;Soultz-sous-Forêts;48.9351001;7.8788287;Alsace;*
FR.SNCF.128;Staffelfelden;47.8277456;7.2639715;Alsace;*
FR.SNCF.129;St-Amarin;47.8725837;7.0301996;Alsace;*
FR.SNCF.130;St-Blaise-la-Roche-Poutay;48.4101938;7.1612373;Alsace;*
FR.SNCF.131;Steinbourg;48.7668653;7.4135489;Alsace;*
FR.SNCF.132;Stephansfeld;48.7328906;7.7018125;Alsace;*
FR.SNCF.133;St-Gilles (Haut-Rhin);47.9315041;7.2441099;Alsace;*
FR.SNCF.134;St-Louis (Haut-Rhin);47.5896496;7.5569536;Alsace;*
FR.SNCF.135;St-Louis-la-Chaussée;47.6046002;7.4982793;Alsace;*
FR.SNCF.136;Strasbourg-Roethig;48.3181795;7.4416241;Alsace;*
FR.SNCF.137;Strasbourg;48.5847646;7.7359203;Alsace;*
FR.SNCF.138;Tagolsheim;47.6549753;7.2650504;Alsace;*
FR.SNCF.139;Thann;47.8431443;7.0692472;Alsace;*
