NL.NS.EML;Ermelo;52.30118; 5.61423;
NL.NS.ETN;Etten-Leur;51.57568; 4.63737;
NL.NS.EGH;Eygelshoven;0.0; 0.0;
NL.NS.EGHM;Eygelshoven Markt;0.0; 0.0;
NL.NS.FN;Franeker;53.18261; 5.54833;
NL.NS.GDR;Gaanderen;0.0; 0.0;
NL.NS.GDK;Geerdijk;52.47548; 6.56699;
NL.NS.GDM;Geldermalsen;51.88277; 5.27148;
NL.NS.GP;Geldrop;51.42025; 5.55045;
NL.NS.LUT;Geleen-Lutterade;50.97564; 5.82488;
NL.NS.GLN;Geleen Oost;50.96763; 5.84343;
NL.NS.GZ;Gilze-Rijen;51.5842; 4.92422;
NL.NS.GBR;Glanerbrug;52.21861; 6.97416;
NL.NS.GS;Goes;51.49857; 3.89066;
NL.NS.GO;Goor;52.23048; 6.58602;
NL.NS.GR;Gorinchem;51.83399; 4.96742;
NL.NS.GD;Gouda;52.01757; 4.7066;
NL.NS.GDG;Gouda Goverwelle;52.0153; 4.74121;
NL.NS.GBG;Gramsbergen;52.61046; 6.6766;
NL.NS.GK;Grijpskerk;53.25608; 6.30977;
NL.NS.GN;Groningen;53.21098; 6.56374;
NL.NS.GERP;Groningen Europapark;0.0; 0.0;
NL.NS.GNN;Groningen Noord;53.23021; 6.55642;
NL.NS.GW;Grou-Jirnsum;53.09034; 5.82217;
NL.NS.HLM;Haarlem;52.38826; 4.63847;
NL.NS.HLMS;Haarlem Spaarnwoude;0.0; 0.0;
NL.NS.HDE;Harde ('t);52.40911; 5.89237;
NL.NS.HDB;Hardenberg;52.57246; 6.62787;
NL.NS.HD;Harderwijk;52.33777; 5.61993;
NL.NS.GND;Hardinxveld-Giessendam;51.83068; 4.83523;
NL.NS.HRN;Haren;53.17516; 6.61838;
NL.NS.HLG;Harlingen;53.17043; 5.42517;
NL.NS.HLGH;Harlingen Haven;53.17477; 5.40989;
NL.NS.HK;Heemskerk;52.49483; 4.68588;
NL.NS.HAD;Heemstede-Aerdenhout;52.35942; 4.60655;
NL.NS.HR;Heerenveen;52.9609; 5.91544;
NL.NS.HWD;Heerhugowaard;52.6708; 4.82416;
NL.NS.HRL;Heerlen;50.89096; 5.97555;
NL.NS.HRLK;Heerlen De Kissel;0.0; 0.0;
NL.NS.HZE;Heeze;51.38545; 5.56958;
NL.NS.hlo;Heiloo;52.60035; 4.70102;
NL.NS.HNO;Heino;52.42758; 6.22137;
NL.NS.HM;Helmond;51.47564; 5.66186;
NL.NS.HMBV;Helmond Brandevoort;0.0; 0.0;
NL.NS.HMBH;Helmond Brouwhuis;51.47097; 5.70176;
NL.NS.HMH;Helmond 't Hout;51.46815; 5.63082;
NL.NS.HMN;Hemmen-Dodewaard;51.92258; 5.67364;
NL.NS.HGL;Hengelo;52.26211; 6.79351;
NL.NS.HGLO;Hengelo Oost;52.26947; 6.82049;
NL.NS.HT;Den Bosch;51.69096; 5.29364;
NL.NS.HTO;Den Bosch Oost;51.70081; 5.31847;
NL.NS.HIL;Hillegom;52302903;4.56615;
NL.NS.HVS;Hilversum;52.22605; 5.18209;
