trainnumber,occupancy,occupancyAmount,weekday,from,to
IC3415,1,1,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008821600

S11757,2,1,1,http://irail.be/stations/NMBS/008814258,http://irail.be/stations/NMBS/008814266
S11757,2,1,1,http://irail.be/stations/NMBS/008814266,http://irail.be/stations/NMBS/008814167
S11757,2,1,1,http://irail.be/stations/NMBS/008814167,http://irail.be/stations/NMBS/008814142
S11757,2,1,1,http://irail.be/stations/NMBS/008814142,http://irail.be/stations/NMBS/008814134
S11757,2,1,1,http://irail.be/stations/NMBS/008814134,http://irail.be/stations/NMBS/008814001
S11757,2,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008813037
S11757,2,1,1,http://irail.be/stations/NMBS/008813037,http://irail.be/stations/NMBS/008813003

IC3640,2,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC3640,2,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008895836
IC3640,2,1,1,http://irail.be/stations/NMBS/008895836,http://irail.be/stations/NMBS/008895802
IC3640,2,1,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895091
IC3640,2,1,1,http://irail.be/stations/NMBS/008895091,http://irail.be/stations/NMBS/008895000

IC3639,2,1,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC3639,2,1,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008895836
IC3639,2,1,1,http://irail.be/stations/NMBS/008895836,http://irail.be/stations/NMBS/008895802
IC3639,2,1,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895091
IC3639,2,1,1,http://irail.be/stations/NMBS/008895091,http://irail.be/stations/NMBS/008895000

L2778,1,1,1,http://irail.be/stations/NMBS/008822715,http://irail.be/stations/NMBS/008822608
L2778,1,1,1,http://irail.be/stations/NMBS/008822608,http://irail.be/stations/NMBS/008822004
