Non symb;Nom court - FR;Nom court - NL;Nom long - FR;Nom long - NL;GPS_LATITUDE;GPS_LONGITUDE
LIEFK;B.LIEFKENSHK;B.LIEFKENSHK;ANTWERPEN-W.H.-B.LIEFKENSHOEK;ANTWERPEN-W.H.-B.LIEFKENSHOEK;51,281031;4,282265
BPEL;B.PELIKAAN;B.PELIKAAN;ZEEBRUGGE-BUNDEL PELIKAAN;ZEEBRUGGE-BUNDEL PELIKAAN;51,293468;3,227731
BRAM;B.RAMSKAPELL;B.RAMSKAPELL;ZEEBRUGGE-BUNDEL RAMSKAPELLE;ZEEBRUGGE-BUNDEL RAMSKAPELLE;51,313401;3,234561
FNWHZ;B.ZUID;B.ZUID;ANTWERPEN-W.H.-B.ZUID;ANTWERPEN-W.H.-B.ZUID;51,250441;4,227542
FRA;BAASRODE-ZD;BAASRODE-ZD;BAASRODE-ZUID;BAASRODE-ZUID;51,019236;4,153992
FGED;BALEGEM-DORP;BALEGEM-DORP;BALEGEM-DORP;BALEGEM-DORP;50,919953;3,7907
FGE;BALEGEM-ZUID;BALEGEM-ZUID;BALEGEM-ZUID;BALEGEM-ZUID;50,900803;3,805767
LNE;BALEN;BALEN;BALEN;BALEN;51,168314;5,16605
GBW;BALEN-WERKPL;BALEN-WERKPL;BALEN-WERKPLAATSEN;BALEN-WERKPLAATSEN;51,193526;5,128478
BAMBR;BAMBRUGGE;BAMBRUGGE;BAMBRUGGE;BAMBRUGGE;50,913903;3,935661
LBV;BARVAUX;BARVAUX;BARVAUX;BARVAUX;50,349541;5,502133
LBC;BASCOUP;BASCOUP;BASCOUP;BASCOUP;50,463596;4,27585
BSCLS;BASECLES;BASECLES;BASECLES;BASECLES;50,515712;3,64726
NBE;BAS-OHA;BAS-OHA;BAS-OHA;BAS-OHA;50,522625;5,190939
BASS;BASSENGE;BASSENGE;BASSENGE;BASSENGE;50,756518;5,611938
BGWV;BASSE-WAVRE;BASSE-WAVRE;BASSE-WAVRE;BASSE-WAVRE;50,724184;4,621178
LN;BASTOGNE-ND;BASTOGNE-ND;BASTOGNE-NORD;BASTOGNE-NORD;50,00716;5,721388
LS;BASTOGNE-SUD;BASTOGNE-SUD;BASTOGNE-SUD;BASTOGNE-SUD;49,99963;5,709672
FSU;BAULERS;BAULERS;BAULERS;BAULERS;50,612318;4,350351
MBG;BEAURAING;BEAURAING;BEAURAING;BEAURAING;50,113836;4,957029
LBM;BEERNEM;BEERNEM;BEERNEM;BEERNEM;51,128008;3,329886
BRSEL;BEERSEL;BEERSEL;BEERSEL;BEERSEL;50,766404;4,302274
FVB;BEERVELDE;BEERVELDE;BEERVELDE;BEERVELDE;51,087039;3,880042
BEEZ;BEEZ;BEEZ;BEEZ;BEEZ;50,47167;4,92499
GBD;BEGIJNENDIJK;BEGIJNENDIJK;BEGIJNENDIJK;BEGIJNENDIJK;51,021972;4,800344
BEIGN;BEIGNEE;BEIGNEE;BEIGNEE;BEIGNEE;50,333239;4,406797
BELBA;BELG.BASIS;BELG.BASIS;ANTWERPEN-D.S.-BELGISCHE BASIS;ANTWERPEN-D.S.-BELGISCHE BASIS;51,261965;4,40252
FEB;BELLEM;BELLEM;BELLEM;BELLEM;51,083908;3,487367
LLB;BELSELE;BELSELE;BELSELE;BELSELE;51,150903;4,089164
FBSG;BERCHEM-ST-A;ST-A-BERCHEM;BERCHEM-SAINTE-AGATHE;SINT-AGATHA-BERCHEM;50,872831;4,290961
BERDR;BERENDRECHT;BERENDRECHT;ANTWERPEN-D.S.-BERENDRECHT;ANTWERPEN-D.S.-BERENDRECHT;51,318003;4,335301
MI;BERINGEN;BERINGEN;BERINGEN;BERINGEN;51,076814;5,231867
MIMIJ;BERINGEN-M;BERINGEN-M;BERINGEN-MIJN;BERINGEN-MIJN;51,085521;5,232683
GBL;BERLAAR;BERLAAR;BERLAAR;BERLAAR;51,113708;4,638258
MBX;BERTRIX;BERTRIX;BERTRIX;BERTRIX;49,852199;5,267703
LBZ;BERZEE;BERZEE;BERZEE;BERZEE;50,285589;4,405942
MBZ;BEUZET;BEUZET;BEUZET;BEUZET;50,532914;4,750092
FBR;BEVEREN(W);BEVEREN(W);BEVEREN(WAAS);BEVEREN(WAAS);51,20845;4,26052
FBRWS;BEVEREN-WIJK;BEVEREN-WIJK;BEVEREN-WIJKSPOOR;BEVEREN-WIJKSPOOR;;
BVRST;BEVERST;BEVERST;BEVERST;BEVERST;50,881084;5,50654
BIEWA;BIERGES-WAL;BIERGES-WAL;BIERGES-WALIBI;BIERGES-WALIBI;50,707772;4,594753
FTI;BIERSET-AW;BIERSET-AW;BIERSET-AWANS;BIERSET-AWANS;50,658614;5,46055
FIE;BILZEN;BILZEN;BILZEN;BILZEN;50,86869;5,50918
FIEWS;BILZEN-WIJK;BILZEN-WIJK;BILZEN-WIJKSPOOR;BILZEN-WIJKSPOOR;50,87843;5,50715
LBH;BINCHE;BINCHE;BINCHE;BINCHE;50,408764;4,172453
MIM;BISSEGEM;BISSEGEM;BISSEGEM;BISSEGEM;50,825844;3,224047
BLAFR;BLANDAIN-FR;BLANDAIN-FR;BLANDAIN-FRONTIERE;BLANDAIN-FRONTIERE;50,61749;3,26373
FBK;BLANKENBERGE;BLANKENBERGE;BLANKENBERGE;BLANKENBERGE;51,312431;3,133862
MBL;BLANMONT;BLANMONT;BLANMONT;BLANMONT;50,619447;4,636386
LLT;BLATON;BLATON;BLATON;BLATON;50,505939;3,665675
BLRET;BLERET;BLERET;BLERET;BLERET;50,685161;5,28599
FBL;BOCKSTAEL;BOCKSTAEL;BOCKSTAEL;BOCKSTAEL;50,879428;4,348507
GBC;BOECHOUT;BOECHOUT;BOECHOUT;BOECHOUT;51,163828;4,494047
BDHCD;BOIS-H-C/D;BOIS-H-C/D;BOIS-D'HAINE-GRIL C/D;BOIS-D'HAINE-GRIL C/D;50,509816;4,21948
MBR;BOITSFORT;BOSVOORDE;BOITSFORT;BOSVOORDE;50,794458;4,407986
FKY;BOKRIJK;BOKRIJK;BOKRIJK;BOKRIJK;50,955514;5,408728
BOKBH;BOKSBERGHDE;BOKSBERGHDE;BOKSBERGHEIDE;BOKSBERGHEIDE;50,964562;5,458209
MBM;BOMAL;BOMAL;BOMAL;BOMAL;50,37691;5,519342
GB;BOOISCHOT;BOOISCHOT;BOOISCHOT;BOOISCHOT;51,0375;4,772797
FMB;BOOM;BOOM;BOOM;BOOM;51,091006;4,360297
BOOND;BOONDAEL;BOONDAAL;BOONDAEL;BOONDAAL;50,801975;4,393523
FOB;BOORTMEERB;BOORTMEERB;BOORTMEERBEEK;BOORTMEERBEEK;50,98185;4,573897
BORDT;BORDET;BORDET;BORDET;BORDET;50,877782;4,409992
LOB;BORNEM;BORNEM;BORNEM;BORNEM;51,098819;4,240431
BOTZ;BOTZELAER;BOTZELAER;BOTZELAER;BOTZELAER;50,723233;5,999543
FSB;BOUSSU;BOUSSU;BOUSSU;BOUSSU;50,436239;3,79585
FOW;BOUWEL;BOUWEL;BOUWEL;BOUWEL;51,165844;4,747581
LBQG;BRACQUEGN-G;BRACQUEGN-G;BRACQUEGNIES-GARAGE;BRACQUEGNIES-GARAGE;50,4748;4,13056
LBQ;BRACQUEGNIES;BRACQUEGNIES;BRACQUEGNIES;BRACQUEGNIES;50,474413;4,126332
FBD;BRAINE-L'ALL;BRAINE-L'ALL;BRAINE-L'ALLEUD;BRAINE-L'ALLEUD;50,684778;4,375525
FBC;BRAINE-LE-CT;BRAINE-LE-CT;BRAINE-LE-COMTE;BRAINE-LE-COMTE;50,605075;4,137658
FBX;BRESSOUX;BRESSOUX;BRESSOUX;BRESSOUX;50,644473;5,612496
;BR-FL L124;BR-VL L124;FRONT. BRUXELLES-FLANDRE L124;GRENS BRUSSEL-VLAANDEREN L124;50,773664;4,339567
;BR-FL L161;BR-VL L161;FRONT. BRUXELLES-FLANDRE L161;GRENS BRUSSEL-VLAANDEREN L161;50,777077;4,429904
;BR-FL L25;BR-VL L25;FRONT. BRUXELLES-FLANDRE L25;GRENS BRUSSEL-VLAANDEREN L25;50,906206;4,415828
;BR-FL L26;BR-VL L26;FRONT. BRUXELLES-FLANDRE L26;GRENS BRUSSEL-VLAANDEREN L26;50,77747;4,32859
;BR-FL L26/1;BR-VL L26/1;FRONT. BRUXELLES-FLANDRE L26/1;GRENS BRUSSEL-VLAANDEREN L26/1;50,90195;4,423167
;BR-FL L27;BR-VL L27;FRONT. BRUXELLES-FLANDRE L27;GRENS BRUSSEL-VLAANDEREN L27;50,903865;4,419272
;BR-FL L36;BR-VL L36;FRONT. BRUXELLES-FLANDRE L36;GRENS BRUSSEL-VLAANDEREN L36;50,89193;4,42819
;BR-FL L36/1;BR-VL L36/1;FRONT. BRUXELLES-FLANDRE L36/1;GRENS BRUSSEL-VLAANDEREN L36/1;50,89193;4,42819
;BR-FL L36N;BR-VL L36N;FRONT. BRUXELLES-FLANDRE L36N;GRENS BRUSSEL-VLAANDEREN L36N;50,89193;4,42819
;BR-FL L50;BR-VL L50;FRONT. BRUXELLES-FLANDRE L50;GRENS BRUSSEL-VLAANDEREN L50;50,870599;4,285591
;BR-FL L50A;BR-VL L50A;FRONT. BRUXELLES-FLANDRE L50A;GRENS BRUSSEL-VLAANDEREN L50A;50,822665;4,247546
;BR-FL L60;BR-VL L60;FRONT. BRUXELLES-FLANDRE L60;GRENS BRUSSEL-VLAANDEREN L60;50,882108;4,298337
;BR-FL L96;BR-VL L96;FRONT. BRUXELLES-FLANDRE L96;GRENS BRUSSEL-VLAANDEREN L96;50,801843;4,303513
;BR-FL L96A;BR-VL L96A;FRONT. BRUXELLES-FLANDRE L96A;GRENS BRUSSEL-VLAANDEREN L96A;50,801843;4,303513
;BR-FL L96B;BR-VL L96B;FRONT. BRUXELLES-FLANDRE L96B;GRENS BRUSSEL-VLAANDEREN L96B;50,801843;4,303513
;BR-FL L96N;BR-VL L96N;FRONT. BRUXELLES-FLANDRE L96N;GRENS BRUSSEL-VLAANDEREN L96N;50,801843;4,303513
FBG;BRUGELETTE;BRUGELETTE;BRUGELETTE;BRUGELETTE;50,594131;3,85305
FR;BRUGGE;BRUGGE;BRUGGE;BRUGGE;51,197225;3,216728
FRV;BRUGGE-BUND;BRUGGE-BUND;BRUGGE-BUNDELS;BRUGGE-BUNDELS;51,188879;3,223559
FRMT;BRUGGE-DIJK;BRUGGE-DIJK;BRUGGE-DIJK;BRUGGE-DIJK;51,238371;3,206356
FROC;BRUGGE-O.C.;BRUGGE-O.C.;BRUGGE-O.C.;BRUGGE-O.C.;51,180715;3,229337
